main conditions: 
    jump: 10, alpha: 1, vtol: 1.0e-9
  viteration 2 elapsed time: 0.06767582893371582 seconds
  viteration 3 elapsed time: 0.032299041748046875 seconds
  viteration 4 elapsed time: 0.06903409957885742 seconds
  viteration 5 elapsed time: 0.031954050064086914 seconds
  viteration 6 elapsed time: 0.06858301162719727 seconds
  viteration 7 elapsed time: 0.03142213821411133 seconds
viter total elapsed time: 0.3340890407562256 seconds
piteration 6 elapsed time: 0.3468508720397949 seconds
  viteration 1 elapsed time: 0.06793904304504395 seconds
  viteration 2 elapsed time: 0.03160977363586426 seconds
  viteration 3 elapsed time: 0.032412052154541016 seconds
probably reached convergance 5538.843892736077
viter total elapsed time: 0.15491008758544922 seconds
piteration 7 elapsed time: 0.40144991874694824 seconds
  viteration 1 elapsed time: 0.03138613700866699 seconds
probably reached convergance 5538.843892736077
viter total elapsed time: 0.05492711067199707 seconds
reached convergance 5538.843892736077
elapsed time: 4.487119913101196 seconds
main conditions: 
    jump: 10, alpha: 1, vtol: 1.0e9
    piter: 1:100, viter: 1:8
piteration 1 elapsed time: 0.34812307357788086 seconds
  viteration 1 elapsed time: 0.03241395950317383 seconds
  viteration 2 elapsed time: 0.06813406944274902 seconds
  viteration 3 elapsed time: 0.032369136810302734 seconds
  viteration 4 elapsed time: 0.06824994087219238 seconds
  viteration 5 elapsed time: 0.03188300132751465 seconds
  viteration 6 elapsed time: 0.0679008960723877 seconds
  viteration 7 elapsed time: 0.03153109550476074 seconds
  viteration 8 elapsed time: 0.03218793869018555 seconds
viter total elapsed time: 0.36560487747192383 seconds
piteration 2 elapsed time: 0.38709402084350586 seconds
  viteration 1 elapsed time: 0.03142881393432617 seconds
  viteration 2 elapsed time: 0.032183170318603516 seconds
  viteration 3 elapsed time: 0.06789088249206543 seconds
  viteration 4 elapsed time: 0.03209400177001953 seconds
  viteration 5 elapsed time: 0.06988978385925293 seconds
  viteration 6 elapsed time: 0.031610965728759766 seconds
  viteration 7 elapsed time: 0.03243112564086914 seconds
  viteration 8 elapsed time: 0.06760001182556152 seconds
viter total elapsed time: 0.36605095863342285 seconds
piteration 3 elapsed time: 0.34717297554016113 seconds
  viteration 1 elapsed time: 0.0323641300201416 seconds
  viteration 2 elapsed time: 0.06669402122497559 seconds
  viteration 3 elapsed time: 0.032215118408203125 seconds
  viteration 4 elapsed time: 0.06927990913391113 seconds
  viteration 5 elapsed time: 0.03191781044006348 seconds
  viteration 6 elapsed time: 0.07024908065795898 seconds
